Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,102
design__inferred_latch__count,0
design__instance__count,5934
design__instance__area,42620.9
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,33
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0037307669408619404
power__switching__total,0.0012952870456501842
power__leakage__total,5.390593926790643E-8
power__total,0.005026108119636774
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.296294580590481
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.30580847053562377
timing__hold__ws__corner:nom_tt_025C_1v80,0.3338419635227333
timing__setup__ws__corner:nom_tt_025C_1v80,1.9489583831777226
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.333842
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,1.948958
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,110
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,33
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.3148691119181446
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3260100892630439
timing__hold__ws__corner:nom_ss_100C_1v60,0.9026313285628529
timing__setup__ws__corner:nom_ss_100C_1v60,-5.468465834939363
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-2086.1980964337527
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-5.468465834939363
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.902631
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,525
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-5.468466
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,525
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,33
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2847141769600072
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2944146954008677
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11399009836465254
timing__setup__ws__corner:nom_ff_n40C_1v95,4.854278449937655
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.113990
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,4.854279
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,161
design__max_fanout_violation__count,33
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.27997507882306144
clock__skew__worst_setup,0.2871835350812167
timing__hold__ws,0.11082424180924613
timing__setup__ws,-5.8934432335735005
timing__hold__tns,0.0
timing__setup__tns,-2270.0631421599546
timing__hold__wns,0
timing__setup__wns,-5.8934432335735005
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110824
timing__hold_r2r_vio__count,0
timing__setup_vio__count,1571
timing__setup_r2r__ws,-5.893443
timing__setup_r2r_vio__count,1571
design__die__bbox,0.0 0.0 682.64 225.76
design__core__bbox,2.76 2.72 679.88 223.04
design__io,45
design__die__area,154113
design__core__area,149183
design__instance__count__stdcell,5934
design__instance__area__stdcell,42620.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.285695
design__instance__utilization__stdcell,0.285695
design__instance__count__class:buffer,4
design__instance__count__class:inverter,34
design__instance__count__class:sequential_cell,658
design__instance__count__class:multi_input_combinational_cell,2107
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,10532
design__instance__count__class:tap_cell,2158
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,101766
design__violations,0
design__instance__count__class:timing_repair_buffer,883
design__instance__count__class:clock_buffer,41
design__instance__count__class:clock_inverter,17
design__instance__count__setup_buffer,28
design__instance__count__hold_buffer,508
antenna__violating__nets,9
antenna__violating__pins,11
route__antenna_violation__count,9
antenna_diodes_count,32
design__instance__count__class:antenna_cell,32
route__net,3742
route__net__special,2
route__drc_errors__iter:1,3658
route__wirelength__iter:1,128152
route__drc_errors__iter:2,2194
route__wirelength__iter:2,126809
route__drc_errors__iter:3,2061
route__wirelength__iter:3,126364
route__drc_errors__iter:4,372
route__wirelength__iter:4,126043
route__drc_errors__iter:5,143
route__wirelength__iter:5,126115
route__drc_errors__iter:6,96
route__wirelength__iter:6,126091
route__drc_errors__iter:7,27
route__wirelength__iter:7,126057
route__drc_errors__iter:8,2
route__wirelength__iter:8,126071
route__drc_errors__iter:9,0
route__wirelength__iter:9,126073
route__drc_errors,0
route__wirelength,126073
route__vias,30331
route__vias__singlecut,30331
route__vias__multicut,0
design__disconnected_pin__count,7
design__critical_disconnected_pin__count,0
route__wirelength__max,483.44
timing__unannotated_net__count__corner:nom_tt_025C_1v80,48
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,48
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,48
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,33
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.28995703880862406
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2970180574449393
timing__hold__ws__corner:min_tt_025C_1v80,0.3315112722612213
timing__setup__ws__corner:min_tt_025C_1v80,2.222619484703291
